anime_id,name,genre,type,episodes,rating,members,episode_bins
28957,mushishizokushousuzunoshizuku,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",movie,1.0,8.75,32266,1
11665,natsumeyuujinchoushi,"drama, fantasy, shoujo, slice of life, supernatural",tv,13.0,8.75,98431,13-24
431,howlnougokushiro,"adventure, drama, fantasy, romance",movie,1.0,8.74,333186,1
11741,fatezero2ndseason,"action, fantasy, supernatural, thriller",tv,12.0,8.73,340973,2-12
31757,kizumonogatariiinekketsuhen,"action, mystery, supernatural, vampire",movie,1.0,8.73,34347,1
19,monster,"drama, horror, mystery, police, psychological, seinen, thriller",tv,74.0,8.72,247562,51-100
12365,bakuman3rdseason,"comedy, drama, romance, shounen",tv,25.0,8.71,133620,25-50
1535,deathnote,"mystery, police, psychological, supernatural, thriller",tv,37.0,8.71,1013917,25-50
32366,gintamaaizomekaorihen,"comedy, parody",ova,2.0,8.69,16947,2-12
30654,ansatsukyoushitsutv2ndseason,"action, comedy, school, shounen",tv,25.0,8.68,176475,25-50
20583,haikyuu,"comedy, drama, school, shounen, sports",tv,25.0,8.68,284498,25-50
19647,hajimenoipporising,"comedy, drama, shounen, sports",tv,25.0,8.68,66756,25-50
4282,karanokyoukai5mujunrasen,"action, drama, mystery, romance, supernatural, thriller",movie,1.0,8.68,111074,1
10379,natsumeyuujinchousan,"drama, fantasy, shoujo, slice of life, supernatural",tv,13.0,8.67,102322,13-24
22135,pingpongtheanimation,"psychological, seinen, sports",tv,11.0,8.67,97187,2-12
21329,mushishispecialhihamukage,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",special,1.0,8.66,49036,1
31043,bokudakegainaimachi,"mystery, psychological, seinen, supernatural",tv,12.0,8.65,402381,2-12
7785,yojouhanshinwataikei,"mystery, psychological, romance",tv,11.0,8.65,122531,2-12
3297,ariatheorigination,"fantasy, sci-fi, shounen, slice of life",tv,13.0,8.64,56162,13-24
30709,kamisamahajimemashitakakohen,"comedy, demons, fantasy, shoujo, supernatural",ova,4.0,8.64,33422,2-12
6114,rainbownisharokubounoshichinin,"drama, historical, seinen, thriller",tv,26.0,8.64,139474,25-50
31240,rezerokarahajimeruisekaiseikatsu,"drama, fantasy, psychological, thriller",tv,25.0,8.64,355839,25-50
4565,tengentoppagurrenlagannmovielagannhen,"action, mecha, sci-fi, space, super power",movie,1.0,8.64,82253,1
5300,zokunatsumeyuujinchou,"drama, fantasy, shoujo, slice of life, supernatural",tv,13.0,8.64,114173,13-24
9989,anohimitahananonamaewobokutachiwamadashiranai,"drama, slice of life, supernatural",tv,11.0,8.62,463835,2-12
24415,kurokonobasket3rdseason,"comedy, school, shounen, sports",tv,25.0,8.62,184525,25-50
11577,steinsgatemoviefukaryouikinodéjàvu,"sci-fi, thriller",movie,1.0,8.61,192424,1
10408,hotarubinomorie,"drama, romance, shoujo, supernatural",movie,1.0,8.61,197439,1
28171,shokugekinosouma,"ecchi, school, shounen",tv,24.0,8.61,348951,13-24
32995,yurionice,"comedy, sports",tv,12.0,8.61,103178,2-12
21899,gintamayorinukigintamasanontheater2d,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,2.0,8.6,11104,2-12
26055,jojonokimyounaboukenstardustcrusaders2ndseason,"action, adventure, drama, shounen, supernatural",tv,24.0,8.6,93657,13-24
7472,gintamamovieshinyakubenizakurahen,"action, comedy, historical, parody, samurai, sci-fi, shounen",movie,1.0,8.59,51185,1
777,hellsingultimate,"action, horror, military, seinen, supernatural, vampire",ova,10.0,8.59,297454,2-12
22535,kiseijuuseinokakuritsu,"action, drama, horror, psychological, sci-fi, seinen",tv,24.0,8.59,425457,13-24
28735,shouwagenrokurakugoshinjuu,"drama, historical, josei",tv,13.0,8.59,71295,13-24
12431,uchuukyoudai,"comedy, sci-fi, seinen, slice of life, space",tv,99.0,8.59,72958,51-100
28805,bakemononoko,"adventure, supernatural",movie,1.0,8.58,80825,1
578,hotarunohaka,"drama, historical",movie,1.0,8.58,174878,1
16894,kurokonobasket2ndseason,"comedy, school, shounen, sports",tv,25.0,8.58,243325,25-50
5028,majors5,"comedy, drama, romance, sports",tv,25.0,8.58,28653,25-50
21,onepiece,"action, adventure, comedy, drama, fantasy, shounen, super power",tv,,8.58,504862,
801,ghostintheshellstandalonecomplex2ndgig,"action, mecha, military, mystery, police, sci-fi, seinen",tv,26.0,8.57,113993,25-50
31933,jojonokimyounaboukendiamondwakudakenai,"action, adventure, comedy, drama, shounen, supernatural",tv,39.0,8.57,74074,25-50
5205,karanokyoukai7satsujinkousatsukou,"action, mystery, romance, supernatural, thriller",movie,1.0,8.57,95658,1
17389,kingdom2ndseason,"action, historical, military, seinen",tv,39.0,8.57,31234,25-50
170,slamdunk,"comedy, drama, school, shounen, sports",tv,101.0,8.56,82570,100+
10162,usagidrop,"josei, slice of life",tv,11.0,8.56,194855,2-12
18617,girlsundpanzerderfilm,"military, school",movie,1.0,8.55,25641,1
32182,mobpsycho100,"action, comedy, slice of life, supernatural",tv,12.0,8.55,193716,2-12
877,nana,"comedy, drama, music, romance, shoujo, slice of life",tv,47.0,8.55,197256,25-50
2251,baccano,"action, comedy, historical, mystery, seinen, supernatural",tv,13.0,8.54,363215,13-24
24687,mushishizokushouodoronomichi,"adventure, fantasy, historical, mystery, seinen, slice of life, supernatural",special,1.0,8.54,34011,1
16498,shingekinokyojin,"action, drama, fantasy, shounen, super power",tv,25.0,8.54,896229,25-50
10030,bakuman2ndseason,"comedy, drama, romance, shounen",tv,25.0,8.53,151561,25-50
5941,crossgame,"comedy, drama, romance, school, sports",tv,50.0,8.53,53108,25-50
30346,doukyuuseimovie,"romance, school, shounen ai, slice of life",movie,1.0,8.53,28864,1
3784,evangelion20youcannotadvance,"action, mecha, sci-fi",movie,1.0,8.53,182224,1
13125,shinsekaiyori,"drama, horror, mystery, sci-fi, supernatural",tv,25.0,8.53,288376,25-50
12029,uchuusenkanyamato2199,"action, drama, military, sci-fi, space",ova,26.0,8.53,44223,25-50
14397,chihayafuru2,"drama, game, josei, slice of life, sports",tv,25.0,8.52,86074,25-50
10087,fatezero,"action, fantasy, supernatural",tv,13.0,8.51,453630,13-24
14719,jojonokimyounaboukentv,"action, adventure, shounen, supernatural, vampire",tv,26.0,8.51,190197,25-50
9756,mahoushoujomadokamagica,"drama, magic, psychological, thriller",tv,12.0,8.51,462974,2-12
10165,nichijou,"comedy, school, slice of life",tv,26.0,8.52,254436,25-50
13601,psychopass,"action, police, psychological, sci-fi",tv,22.0,8.5,509109,13-24
22789,barakamon,"comedy, slice of life",tv,12.0,8.5,225927,2-12
30230,diamondnoacesecondseason,"comedy, school, shounen, sports",tv,51.0,8.5,38531,51-100
18115,magithekingdomofmagic,"action, adventure, fantasy, magic, shounen",tv,25.0,8.5,245026,25-50
11981,mahoushoujomadokamagicamovie3hangyakunomonogatari,"drama, magic, psychological, thriller",movie,1.0,8.5,135735,1
11917,majorworldseries,"comedy, drama, sports",ova,2.0,8.5,13405,2-12
205,samuraichamploo,"action, adventure, comedy, historical, samurai, shounen",tv,26.0,8.5,390076,25-50
32282,shokugekinosoumaninosara,"ecchi, school, shounen",tv,13.0,8.5,185015,13-24
6594,katanagatari,"action, adventure, historical, martial arts, romance",tv,12.0,8.49,207241,2-12
11979,mahoushoujomadokamagicamovie2eiennomonogatari,"drama, magic, psychological, thriller",movie,1.0,8.49,85361,1
7655,majors6,"comedy, drama, sports",tv,25.0,8.49,24788,25-50
2246,mononoke,"demons, fantasy, historical, horror, mystery, seinen, supernatural",tv,12.0,8.49,88850,2-12
25835,shirobako,"comedy, drama",tv,24.0,8.49,146895,13-24
2921,ashitanojoe2,"drama, sports",tv,47.0,8.48,6259,25-50
136,hunterxhunter,"action, adventure, shounen, super power",tv,62.0,8.48,166255,51-100
30503,noragamiaragoto,"action, adventure, shounen, supernatural",tv,13.0,8.48,299434,13-24
12531,sakamichinoapollon,"drama, josei, music, romance, school",tv,12.0,8.48,146592,2-12
523,tonarinototoro,"adventure, comedy, supernatural",movie,1.0,8.48,271484,1
467,ghostintheshellstandalonecomplex,"action, mecha, military, police, sci-fi, seinen",tv,26.0,8.47,194491,25-50
572,kazenotaninonausicaä,"adventure, fantasy",movie,1.0,8.47,143273,1
19815,nogamenolife,"adventure, comedy, ecchi, fantasy, game, supernatural",tv,12.0,8.47,602291,2-12
2559,romeonoaoisora,"adventure, drama, historical, slice of life",tv,33.0,8.47,15074,25-50
392,yuuyuuhakusho,"action, comedy, demons, fantasy, martial arts, school, shounen",tv,112.0,8.47,195017,100+
486,kinonotabithebeautifulworld,"action, adventure, slice of life",tv,13.0,8.46,102822,13-24
11771,kurokonobasket,"comedy, school, shounen, sports",tv,25.0,8.46,338315,25-50
1698,nodamecantabile,"comedy, drama, josei, music, romance, slice of life",tv,23.0,8.46,157025,13-24
5341,ookamitokoushinryouii,"adventure, fantasy, historical, romance",tv,12.0,8.46,210491,2-12
25781,shingekinokyojinkuinakisentaku,"action, fantasy, shoujo, supernatural",ova,2.0,8.45,92543,2-12
10863,steinsgateoukoubakkonoporiomania,"sci-fi, thriller",special,1.0,8.46,159548,1
28701,fatestaynightunlimitedbladeworks2ndseason,"action, fantasy, magic, shounen, supernatural",tv,13.0,8.45,205987,13-24
5420,kemononosoujaerin,"drama, fantasy",tv,50.0,8.45,36751,25-50
9260,kizumonogatariitekketsuhen,"mystery, supernatural, vampire",movie,1.0,8.45,99579,1
32,neongenesisevangeliontheendofevangelion,"dementia, drama, mecha, psychological, sci-fi",movie,1.0,8.45,215630,1
4224,toradora,"comedy, romance, school, slice of life",tv,25.0,8.45,633817,25-50
2236,tokiwokakerushoujo,"adventure, drama, romance, sci-fi",movie,1.0,8.44,289206,1
2685,tsubasatokyorevelations,"action, adventure, drama, fantasy, romance, shounen",ova,3.0,8.44,57963,2-12
31181,owarimonogatari,"comedy, mystery, supernatural",tv,12.0,8.43,107855,2-12
45,rurounikenshinmeijikenkakuromantan,"action, adventure, comedy, historical, romance, samurai",tv,94.0,8.43,218928,51-100
2418,strangermukouhadan,"action, adventure, historical, samurai",movie,1.0,8.43,125503,1
1365,detectiveconanmovie06thephantomofbakerstreet,"adventure, mystery, police, shounen",movie,1.0,8.42,28462,1
22297,fatestaynightunlimitedbladeworks,"action, fantasy, magic, shounen, supernatural",tv,12.0,8.42,267484,2-12
627,majors1,"comedy, drama, shounen, sports",tv,26.0,8.42,41061,25-50
10937,mobilesuitgundamtheorigin,"action, mecha, military, sci-fi, shounen, space",ova,6.0,8.42,15420,2-12
23755,nanatsunotaizai,"action, adventure, ecchi, fantasy, shounen, supernatural",tv,24.0,8.42,331627,13-24
4081,natsumeyuujinchou,"drama, fantasy, shoujo, slice of life, supernatural",tv,13.0,8.42,210736,13-24
4155,onepiecefilmstrongworld,"action, adventure, comedy, drama, fantasy, shounen",movie,1.0,8.42,85020,1
1889,higurashinonakukoronikai,"mystery, psychological, supernatural, thriller",tv,24.0,8.41,218101,13-24
137,hunterxhunterova,"action, adventure, shounen, super power",ova,8.0,8.41,53168,2-12
139,hunterxhuntergreedislandfinal,"action, adventure, shounen, super power",ova,14.0,8.41,55787,13-24
23317,kuroshitsujibookofmurder,"comedy, demons, fantasy, historical, mystery, shounen, supernatural",ova,2.0,8.41,67261,2-12
558,majors2,"comedy, drama, shounen, sports",tv,26.0,8.41,30689,25-50
5040,oneouts,"psychological, seinen, sports",tv,25.0,8.41,83056,25-50
57,beck,"comedy, drama, music, shounen, slice of life",tv,26.0,8.4,148328,25-50
33,berserk,"action, adventure, demons, drama, fantasy, horror, military, romance, seinen, supernatural",tv,25.0,8.4,226430,25-50
5,cowboybeboptengokunotobira,"action, drama, mystery, sci-fi, space",movie,1.0,8.4,137636,1
1842,majors3,"drama, shounen, sports",tv,26.0,8.4,29528,25-50
6336,mobilesuitgundamunicorn,"action, drama, mecha, military, sci-fi, space",ova,7.0,8.4,42076,2-12
20651,natsumeyuujinchouitsukayukinohini,"drama, fantasy, shoujo, slice of life, supernatural",ova,1.0,8.4,28302,1
1210,nhkniyoukoso,"comedy, drama, psychological, romance",tv,24.0,8.4,291228,13-24
338,roseofversailles,"adventure, drama, historical, romance, shoujo",tv,40.0,8.4,32188,25-50
13759,sakurasounopetnakanojo,"comedy, drama, romance, school, slice of life",tv,24.0,8.4,380375,13-24
6547,angelbeats,"action, comedy, drama, school, supernatural",tv,13.0,8.39,717796,13-24
5081,bakemonogatari,"mystery, romance, supernatural, vampire",tv,15.0,8.39,482268,13-24
32867,bungoustraydogs2ndseason,"mystery, seinen, supernatural",tv,12.0,8.39,83641,2-12
264,hajimenoippochampionroad,"comedy, shounen, sports",special,1.0,8.39,47840,1
12859,onepiecefilmz,"action, adventure, comedy, drama, fantasy, shounen",movie,1.0,8.39,76051,1
853,ourankoukouhostclub,"comedy, harem, romance, school, shoujo",tv,26.0,8.39,422271,25-50
5460,detectiveconanmovie13theravenchaser,"action, mystery, police, shounen",movie,1.0,8.38,21798,1
6746,durarara,"action, mystery, supernatural",tv,24.0,8.38,556431,13-24
5690,nodamecantabilefinale,"comedy, josei, music, romance",tv,11.0,8.38,67697,2-12
329,planetes,"drama, romance, sci-fi, seinen, space",tv,26.0,8.38,105044,25-50
34240,shelter,"music, sci-fi",music,1.0,8.38,71136,1
513,tenkuunoshirolaputa,"adventure, fantasy, romance, sci-fi",movie,1.0,8.38,151061,1
6945,gintamashiroyashakoutan,"action, comedy, historical, parody, sci-fi",special,1.0,8.37,27213,1
1142,hachimitsutocloverii,"drama, josei, romance",tv,12.0,8.37,61493,2-12
6811,inuyashakanketsuhen,"action, adventure, comedy, demons, fantasy, magic, romance, shounen, supernatural",tv,26.0,8.37,99128,25-50
16664,kaguyahimenomonogatari,"fantasy, historical",movie,1.0,8.37,45547,1
1604,katekyohitmanreborn,"action, comedy, shounen, super power",tv,203.0,8.37,258103,100+
22145,kuroshitsujibookofcircus,"comedy, demons, fantasy, historical, shounen, supernatural",tv,10.0,8.37,122895,2-12
2966,ookamitokoushinryou,"adventure, fantasy, historical, romance",tv,13.0,8.37,334932,13-24
31964,bokunoheroacademia,"action, comedy, school, shounen, super power",tv,13.0,8.36,282002,13-24
19363,ginnosaji2ndseason,"comedy, school, shounen, slice of life",tv,11.0,8.36,67032,2-12
18195,littlebustersrefrain,"comedy, drama, romance, school, slice of life, supernatural",tv,13.0,8.36,71820,13-24
9890,majormessage,"comedy, drama, sports",ova,1.0,8.36,12282,1
9130,saintseiyathelostcanvasmeioushinwa2,"action, adventure, martial arts, shounen, super power, supernatural",ova,13.0,8.36,27532,13-24
9863,sketdance,"comedy, school, shounen",tv,77.0,8.36,101027,51-100
7674,bakuman,"comedy, romance, shounen",tv,25.0,8.35,246899,25-50
11843,danshikoukouseinonichijou,"comedy, school, shounen, slice of life",tv,12.0,8.35,258914,2-12
16782,kotonohanoniwa,"drama, psychological, romance, slice of life",movie,1.0,8.35,189741,1
28675,kyoukainokanatamovieillbeheremiraihen,"fantasy, slice of life, supernatural",movie,1.0,8.35,59815,1
3226,majors4,"comedy, drama, shounen, sports",tv,26.0,8.35,28002,25-50
21557,omoidenomarnie,"drama, mystery, psychological",movie,1.0,8.35,53590,1
31715,workinglordofthetakanashi,"comedy, romance, slice of life",special,1.0,8.34,31856,1
43,ghostintheshell,"action, mecha, police, psychological, sci-fi, seinen",movie,1.0,8.34,223036,1
9617,konmovie,"comedy, music, slice of life",movie,1.0,8.34,115252,1
31051,kurokonobasketsaikounopresentdesu,"action, school, shounen, sports",special,1.0,8.34,22900,1
10153,mahoushoujolyricalnanohathemovie2ndas,"action, comedy, drama, magic, super power",movie,1.0,8.34,13315,1
1033,sennenjoyuu,"action, adventure, drama, fantasy, historical, romance",movie,1.0,8.34,58492,1
32188,steinsgatekyoukaimenjounomissinglinkdividebyzero,"sci-fi, thriller",special,1.0,8.34,38147,1
3091,xxxholickei,"comedy, drama, mystery, psychological, supernatural",tv,13.0,8.34,74941,13-24
12115,berserkougonjidaiheniiikourin,"action, adventure, demons, drama, fantasy, horror, military, seinen, supernatural",movie,1.0,8.33,65594,1
28223,deathparade,"drama, game, mystery, psychological, thriller",tv,12.0,8.33,383914,2-12
121,fullmetalalchemist,"action, adventure, comedy, drama, fantasy, magic, military, shounen",tv,51.0,8.33,600384,51-100
3002,gyakkyouburaikaijiultimatesurvivor,"game, psychological, seinen, thriller",tv,26.0,8.33,98996,25-50
138,hunterxhuntergreedisland,"action, adventure, shounen, super power",ova,8.0,8.33,57029,2-12
6675,redline,"action, cars, sci-fi, sports",movie,1.0,8.33,109392,1
10800,chihayafuru,"drama, game, josei, slice of life, sports",tv,25.0,8.32,158561,25-50
32005,detectiveconanmovie20thedarkestnightmare,"action, mystery, police, shounen",movie,1.0,8.32,6229,1
813,dragonballz,"action, adventure, comedy, fantasy, martial arts, shounen, super power",tv,291.0,8.32,375662,100+
27821,fatestaynightunlimitedbladeworksprologue,"action, fantasy, magic, shounen, supernatural",special,1.0,8.32,106382,1
28725,kokorogasakebitagatterunda,"drama, romance, school",movie,1.0,8.32,59652,1
585,mimiwosumaseba,"adventure, drama, fantasy, romance, slice of life",movie,1.0,8.32,94435,1
16067,naginoasukara,"drama, fantasy, romance",tv,26.0,8.32,224947,25-50
30,neongenesisevangelion,"action, dementia, drama, mecha, psychological, sci-fi",tv,26.0,8.32,461946,25-50
31490,onepiecefilmgold,"action, adventure, comedy, drama, fantasy, shounen",movie,1.0,8.32,18642,1
759,tokyogodfathers,"comedy, drama",movie,1.0,8.32,89424,1
6,trigun,"action, comedy, sci-fi",tv,26.0,8.32,283069,25-50
6864,xxxholicrou,"mystery, supernatural",ova,2.0,8.32,36353,2-12
9735,gintamashinyakubenizakurahen,"action, comedy, historical, parody, samurai, sci-fi, shounen",special,1.0,8.31,14002,1
11977,mahoushoujomadokamagicamovie1hajimarinomonogatari,"drama, magic, psychological, thriller",movie,1.0,8.31,88164,1
11123,sekaiichihatsukoi2,"comedy, drama, romance, shounen ai",tv,12.0,8.31,69253,2-12
23847,yahariorenoseishunlovecomedywamachigatteiruzoku,"comedy, drama, romance, school",tv,13.0,8.31,222994,13-24
33161,yahariorenoseishunlovecomedywamachigatteiruzokuova,"comedy, romance, school",ova,1.0,8.31,35120,1
962,ariathenatural,"fantasy, sci-fi, shounen, slice of life",tv,26.0,8.3,39596,25-50
1519,blacklagoonthesecondbarrage,"action, seinen",tv,12.0,8.3,203233,2-12
2167,clannad,"comedy, drama, romance, school, slice of life, supernatural",tv,23.0,8.3,566690,13-24
16706,kaminomizoshirusekaimegamihen,"comedy, harem, romance, shounen, supernatural",tv,12.0,8.3,142612,2-12
5681,summerwars,"comedy, sci-fi",movie,1.0,8.3,223359,1
3901,baccanospecials,"action, comedy, historical, mystery, seinen, supernatural",special,3.0,8.29,100412,2-12
6467,detectiveconanmovie14thelostshipinthesky,"action, mystery, police, shounen",movie,1.0,8.29,20602,1
10271,gyakkyouburaikaijihakairokuhen,"game, psychological, seinen, thriller",tv,26.0,8.29,55566,25-50
22507,initialdfinalstage,"cars, seinen, sports",tv,4.0,8.29,19702,2-12
3701,kaiba,"adventure, mystery, romance, sci-fi",tv,12.0,8.29,56927,2-12
19123,onepieceepisodeofmerrymouhitorinonakamanomonogatari,"action, adventure, comedy, drama, fantasy, shounen, super power",special,1.0,8.29,17247,1
33255,saikikusuonoψnantv,"comedy, school, shounen, supernatural",tv,120.0,8.29,47092,100+
372,cardcaptorsakuramovie2fuuinsaretacard,"comedy, drama, fantasy, magic, romance, shoujo",movie,1.0,8.28,60637,1
265,hajimenoippomashibavskimura,"comedy, shounen, sports",ova,1.0,8.28,40623,1
25681,kamisamahajimemashita,"comedy, demons, fantasy, romance, shoujo, supernatural",tv,12.0,8.28,91796,2-12
4722,skipbeat,"comedy, drama, romance, shoujo",tv,25.0,8.28,134818,25-50
24277,yowamushipedalgranderoad,"comedy, drama, shounen, sports",tv,24.0,8.28,50778,13-24
239,gankutsuou,"drama, mystery, sci-fi, supernatural, thriller",tv,24.0,8.27,103828,13-24
512,majonotakkyuubin,"adventure, comedy, drama, fantasy, magic, romance",movie,1.0,8.27,152331,1
4477,nodamecantabileparishen,"comedy, josei, music, romance, slice of life",tv,11.0,8.27,70822,2-12
15323,onepieceepisodeofnamikoukaishinonamidatonakamanokizuna,"action, adventure, comedy, drama, fantasy, shounen, super power",special,1.0,8.27,24707,1
31174,osomatsusan,"comedy, parody",tv,25.0,8.27,60988,25-50
23327,spacedandy2ndseason,"comedy, sci-fi, space",tv,13.0,8.27,60918,13-24
5365,tsumikinoie,drama,movie,1.0,8.27,45189,1
3702,detroitmetalcity,"comedy, music",ova,12.0,8.26,104893,2-12
3167,evenojikan,"sci-fi, slice of life",ona,6.0,8.26,99074,2-12
7465,evenojikanmovie,"sci-fi, slice of life",movie,1.0,8.26,66376,1
7054,kaichouwamaidsama,"comedy, romance, school, shoujo",tv,26.0,8.26,391628,25-50
1257,saintseiyameiouhadesjuunikyuuhen,"adventure, sci-fi, shounen",ova,13.0,8.26,23701,13-24
23283,zankyounoterror,"psychological, thriller",tv,11.0,8.26,342893,2-12
2025,darkerthanblackkuronokeiyakusha,"action, mystery, sci-fi, super power",tv,25.0,8.25,440334,25-50
235,detectiveconan,"adventure, comedy, mystery, police, shounen",tv,,8.25,114702,
1364,detectiveconanmovie05countdowntoheaven,"adventure, comedy, mystery, police, shounen",movie,1.0,8.25,25432,1
18689,diamondnoace,"comedy, school, shounen, sports",tv,75.0,8.25,81384,51-100
22043,fairytail2014,"action, adventure, comedy, fantasy, magic, shounen",tv,102.0,8.25,255076,100+
31988,hibikeeuphonium2,"drama, music, school",tv,13.0,8.25,47716,13-24
20899,jojonokimyounaboukenstardustcrusaders,"action, adventure, drama, shounen, supernatural",tv,24.0,8.25,120089,13-24
1453,maisonikkoku,"comedy, drama, romance, slice of life",tv,96.0,8.25,22079,51-100
23623,nonnonbiyorirepeat,"comedy, school, seinen, slice of life",tv,12.0,8.26,64230,2-12
1559,shijousaikyounodeshikenichi,"action, comedy, martial arts, school, shounen",tv,50.0,8.25,129112,25-50
1382,yuushaougaogaigarfinal,"adventure, drama, mecha, sci-fi, shounen",ova,8.0,8.25,5001,2-12
23289,gekkanshoujonozakikun,"comedy, romance, school",tv,12.0,8.24,292622,2-12
18,initialdfourthstage,"action, cars, drama, seinen, sports",tv,24.0,8.24,41584,13-24
4814,junjouromantica2,"comedy, drama, romance, shounen ai",tv,12.0,8.24,87617,2-12
16662,kazetachinu,"drama, historical, romance",movie,1.0,8.24,75359,1
12031,kingdom,"action, historical, military, seinen",tv,38.0,8.24,54211,25-50
8129,kuragehime,"comedy, josei, slice of life",tv,11.0,8.24,108053,2-12
14513,magithelabyrinthofmagic,"action, adventure, fantasy, magic, shounen",tv,25.0,8.24,317513,25-50
2581,mobilesuitgundam00,"action, drama, mecha, military, sci-fi, space",tv,25.0,8.24,120351,25-50
30015,relife,"romance, school, slice of life",tv,13.0,8.24,202249,13-24
6171,saintseiyathelostcanvasmeioushinwa,"action, adventure, martial arts, shounen, super power, supernatural",ova,13.0,8.24,40355,13-24
1827,seireinomoribito,"action, adventure, fantasy, historical",tv,26.0,8.24,106888,25-50
25013,akatsukinoyona,"action, adventure, comedy, fantasy, romance, shoujo",tv,24.0,8.23,216674,13-24
1367,detectiveconanmovie08magicianofthesilversky,"adventure, comedy, mystery, police, shounen",movie,1.0,8.23,23130,1
27833,durararax2ketsu,"action, mystery, supernatural",tv,12.0,8.23,115295,2-12
26213,freeeternalsummerspecial,"comedy, school, slice of life",special,1.0,8.23,36091,1
1974,glassnokamen2005,"drama, shoujo",tv,51.0,8.23,17038,51-100
8425,gosick,"drama, historical, mystery, romance",tv,24.0,8.23,232113,13-24
12069,hajimenoippoboxernokobushi,"comedy, drama, shounen, sports",special,1.0,8.23,20157,1
185,initialdfirststage,"action, cars, drama, seinen, sports",tv,26.0,8.23,68128,25-50
18679,killlakill,"action, comedy, school, super power",tv,24.0,8.23,508118,13-24
2034,lovelycomplex,"comedy, romance, shoujo",tv,24.0,8.23,235003,13-24
437,perfectblue,"dementia, drama, horror, psychological",movie,1.0,8.23,117565,1
721,princesstutu,"comedy, fantasy, magic, romance",tv,38.0,8.23,73218,25-50
